locus,title,description,function
 new_2587581_2588011, S939, new RNA feature, new_2587581_2588011
 new_2641195_2642042_c, S963, new RNA feature, new_2641195_2642042_c
 BSU_16560, rasP, intramembrane protease, [[protein|RsiV ]]and [[protein|4E720917045032E8B45CB8AF6E5C13AE0E48EE33]] as well as signal peptides after release of the secreted proteins
 BSU_00230, bofA, inhibition of the pro-[[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4|sigma-K]] processing machinery, control of [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4|sigma-K]] activation
 BSU_26820, yrpD, unknown, unknown
 BSU_25290, era, GTP-binding protein, BSU_25290
 new_108559_108673, S45, new RNA feature,
 new_108559_108673, , ,
 BSU_29130, icd, isocitrate dehydrogenase, TCA cycle
 BSU_38710, yxlA, similar to purine-cytosine permease, unknown
 BSU_24890, yqgN,5, 5-formyltetrahydrofolate cyclo-ligase paralog implicated in thiamin metabolism
 BSU_33810, opuCC, glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter] (binding protein), compatible solute transport
 BSU_18810, yobA, unknown, unknown
 new_2647355_2647455, S966, new RNA feature, new_2647355_2647455
 BSU_00050, remB, involved in the activation of biofilm matrix biosynthetic operons, [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]]
 BSU_18170, yngA, flippase, BSU_18170
 BSU_23390, spoVAF, essential for the uptake of the 1:1 chelate of pyridine-2,6)) and Ca(2 ) into developing spores
 BSU_25050, yqgA, unknown, BSU_25050
 BSU_05140, ydzE, unknown, unknown
 BSU_03100, ycgG, unknown, unknown
 BSU_38160, qoxB, cytochrome aa3 quinol oxidase (subunit I), respiration
 BSU_24860, yqgQ, putative single-stranded nucleic acid binding protein, unknown
 BSU_08950, yhbE, bactofilin, BSU_08950
 new_4199733_4199799_c, S1575, new RNA feature, new_4199733_4199799_c
 BSU_36870, atpB, ATP synthase, BSU_36870
 BSU_16190, flgC, flagellar basal-body rod protein, BSU_16190
 BSU_38310, ywbI, transcriptional regulator ([wiki|LysR family]), BSU_38310
 BSU_12330, yjmD, galactitol-1-phosphate dehydrogenase, utilization of dulcitol
 BSU_08250, yfiF, similar to transcription factor ([wiki|AraC family]), unknown
 new_1053254_1053359_c, S343, new RNA feature, new_1053254_1053359_c
 BSU_tRNA_43, trnD-Leu1, null, translation
 new_2586107_2586175_c, S936, new RNA feature, new_2586107_2586175_c
 new_2537614_2537688_c, S919, new RNA feature,
 new_2537614_2537688_c, , ,
 BSU_tRNA_55, trnB-Leu1, null, translation
 new_2989805_2989899_c, S1108, new RNA feature, new_2989805_2989899_c
 BSU_05099, ydzM, unknown, unknown
 new_2099791_2099863_c, S741, new RNA feature, new_2099791_2099863_c
 BSU_26220, yqaQ, unknown, unknown
 BSU_41000, gidB, 7-methylguanosine methyltransferase specific for the 16S rRNA, BSU_41000
 new_3926400_3926681_c, S1476, new RNA feature,
 new_3926400_3926681_c, , ,
 BSU_07260, yfnI, polyglycerolphosphate lipoteichoic acid synthase, major secreted protein
 BSU_11700, thiF, hydroxyethylthiazole phosphate biosynthesis, biosynthesis of thiamine
 BSU_06460, purS, phosphoribosylformylglycinamidine synthase, purine biosynthesis
 BSU_01830, ndhF, subunit of a Na<sup>+</sup>:bicarbonate transporter [[protein|CCDDC414E266D86B9027EA67EA565D87357023B3|MpsA]]-[[protein|E04C67FB0EA3FFEC8FB68440F4661505C3DFDA29|MpsB]], uptake of bicarbonate
 new_2570490_2570556_c, S932, new RNA feature, new_2570490_2570556_c
 new_1926587_1926679, S668, new RNA feature, new_1926587_1926679
 BSU_40320, rocF, arginase, arginine utilization
 BSU_12830, spoIISA, lethal when synthesized during vegetative growth in the absence of [[protein|6C9F403D67CDC2EE66C534B0F23D973E24C9A089]], programmed cell death
 BSU_17390, nrdF, ribonucleoside-diphosphate reductase (beta subunit), synthesis of deoxyribonucleoside triphosphates
 BSU_27460, glnP, glutamine [wiki|ABC transporter] (membrane protein), glutamine uptake
 BSU_40950, yyaC, sporulation protein, unknown
 BSU_36640, ureC, urease (alpha subunit), utilization of urea as alternative nitrogen source
 BSU_38150, qoxC, cytochrome aa3 quinol oxidase (subunit III), respiration
 BSU_12140, yjgA, unknown, unknown
 new_51558_51679, S28, new RNA feature, new_51558_51679
 BSU_35698, yvzI, putative CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (fragment), unknown
 BSU_18870, yozI, unknown, unknown
 BSU_12680, xkdO, PBSX prophage, unknown
 BSU_22580, reoY, effector protein of [[protein|DA763F7C2192655C590752C2A285ADF902B11BCA]] degradation by [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]], control of peptidoglycan biosynthesis
 BSU_23310, sipS, signal peptidase I, protein secretion
 BSU_10440, yhjA, unknown, unknown
 BSU_29010, speD, S-adenosylmethionine decarboxylase, BSU_29010
 BSU_30300, melA, alpha-galactosidase, utilization of melibiose and raffinose family oligosaccharides (raffinose
 BSU_20350, yorK, single-strand DNA-specific exonuclease, unknown
 BSU_19890, yotG, unknown, unknown
 BSU_22970, ypbH, putative adaptor protein for [[protein|86A2F2F65290F4471D6FD03B694821C66C180D8A]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]], unknown
 BSU_rRNA_10, rrnW-23S, 23S rRNA, translation
 new_3966778_3967943_c, S1484, new RNA feature, new_3966778_3967943_c
 BSU_00810, yacF, putative tRNA-dihydrouridine synthase B, tRNA maturation
 BSU_tRNA_1, trnY-Phe, null, translation
 BSU_27090, aapA, amino acid permease, amino acid uptake
 BSU_27360, trmR, tRNA wobble uridine modifying methyltransferase, introduction of 5-methoxyuridine modification in tRNA (U34)
 BSU_misc_RNA_69, fsrA, regulatory RNA, 
 new_4084424_4084730, S1527, new RNA feature, new_4084424_4084730
 BSU_17080, pksA, transcriptional regulator ([wiki|TetR family]), BSU_17080
 BSU_tRNA_72, trnB-Glu, null, translation
 new_2347517_2347578_c, S847, new RNA feature, new_2347517_2347578_c
 BSU_25560, holA, DNA polymerase III, part of the clamp-loader complex and the [wiki|replisome]
 new_2362965_2363044_c, S854, new RNA feature,
 new_2362965_2363044_c, , ,
 new_2445036_2445093_c, S889, new RNA feature,
 new_2445036_2445093_c, , ,
 BSU_40600, yybL, similar to [wiki|ABC transporter ](permease), unknown
 BSU_14060, fadH,2, BSU_14060
 BSU_23837, rpmGCn, , 
 BSU_02190, ybfF, unknown, unknown
 BSU_27210, yrhF, unknown, unknown
 BSU_06070, ydiP, similar to DNA-3-methyladenine glycosidase II, BsuM DNA modification
 BSU_tRNA_86, trnSL-Ala1, null, translation
 BSU_08530, yfhH, unknown, unknown
 BSU_27840, safA, morphogenetic protein associated with [[protein|6698BB092E03BEF48AFD0CBF565410109CD1ABB5]], BSU_27840
 BSU_misc_RNA_59, BSU_misc_RNA_59, null, null
 BSU_14160, ykuO, unknown, unknown
 new_2316111_2316182_c, S833, new RNA feature, new_2316111_2316182_c
 BSU_40579, yyzL, unknown, BSU_40579
 BSU_33480, bdbD, thiol-disulfide oxidoreductase, BSU_33480
 BSU_37150, pyrG, CTP synthase (NH<sub>3</sub>, BSU_37150
 BSU_27600, rel, GTP pyrophosphokinase (stringent response regulon), synthesis and degradation of (p)ppGpp
 new_465941_466041, S137, new RNA feature,
 new_465941_466041, , ,
 BSU_31380, yuzA, general stress protein, unknown
 BSU_21409, BSU_21409, , 
 new_864500_865153, S276, new RNA feature, new_864500_865153
 BSU_25690, sda, developmental checkpoint protein, BSU_25690
 BSU_misc_RNA_50, BSU_misc_RNA_50, null, null
 BSU_20230, yorW, unknown, unknown
 BSU_tRNA_47, trnS-Glu, null, translation
 new_1260806_1262335, S428, new RNA feature, new_1260806_1262335
 BSU_27290, yrzA, unknown, unknown
 BSU_23610, nudF, involved in isopentenol (isoprenoid) biosynthesis, BSU_23610
 new_368894_371728_c, S122, new RNA feature,
 new_368894_371728_c, , ,
 BSU_18596, BSU_18596, , 
 BSU_26760, yrdC, unknown, unknown
 new_953026_953194, S307, new RNA feature,
 new_953026_953194, , ,
 BSU_10350, yhfS, similar to acetyl-CoA C-acetyltransferase, unknown
 BSU_36240, ptpZ, phosphotyrosine protein phosphatase, BSU_36240
 BSU_23000, ypbE, peptidoglycan-binding protein, BSU_23000
 new_1190234_1190430_c, S397, new RNA feature, new_1190234_1190430_c
 BSU_19160, yocC, unknown, unknown
 BSU_37000, prmC, similar to N5-glutamine methyltransferase that modifies peptide release factors [[protein|59E6468FD891F5271F38543515867B0B4625768D]] and [[protein|12E06FD3A36D95AE82E3C65788FA98178039592F]], peptide release factor methylation
 BSU_00900, ispD, 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, BSU_00900
 new_1745919_1745990, S599, new RNA feature, new_1745919_1745990
 new_30076_30278, S19, new RNA feature, new_30076_30278
 BSU_22130, kduI, 5-keto-4-deoxyuronate isomerase, utilization of galacturonic acid
 BSU_09259, yhzG, unknown, BSU_09259
 new_3182591_3182678_c, S1183, new RNA feature, new_3182591_3182678_c
 BSU_26290, yqaJ, similar to phage-related protein, BSU_26290
 BSU_40490, yycA, unknown, unknown
 new_3308369_3308785, S1244, new RNA feature,
 new_3308369_3308785, , ,
 BSU_23450, sigF, [wiki|RNA polymerase] forespore-specific (early) [wiki|sigma factor] SigF, transcription of [wiki|sporulation] genes (early forespore)
 BSU_19230, azoR1, azoreductase, BSU_19230
 new_3032370_3032416_c, S1128, new RNA feature, new_3032370_3032416_c
 new_2647615_2647861, S967, new RNA feature, new_2647615_2647861
 BSU_17679, BSU_17679, , 
 new_1881406_1881535, S627, new RNA feature, new_1881406_1881535
 BSU_18820, yobB, unknown, unknown
 BSU_37420, albF, antilisterial bacteriocin (subtilosin) production, antilisterial bacteriocin (subtilosin) production
 BSU_27120, sigV, [wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigV, BSU_27120
 BSU_09480, yhdI, similar to transcriptional regulator ([wiki|MocR/ GabR family]), unknown
 BSU_05100, yddT, unknown, unknown
 new_2210204_2210330_c, S787, new RNA feature,
 new_2210204_2210330_c, , ,
 BSU_10500, yhjG, similar to  monooxygenase, unknown
 BSU_11800, yjcB, , 
 BSU_11290, yjaV, [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent [wiki|sporulation] gene, [[category|SW.4.2]]
 new_2099865_2099968_c, S742, new RNA feature, new_2099865_2099968_c
 new_3512501_3513571, S1310, new RNA feature, new_3512501_3513571
 BSU_40090, ahpC, alkyl hydroperoxide reductase (small subunit), resistance against peroxide stres
 BSU_36570, ywnG, unknown, unknown
 BSU_04150, ycsN, similar to aryl-alcohol dehydrogenase, unknown
 new_4004135_4004219_c, S1500, new RNA feature, new_4004135_4004219_c
 BSU_09690, nhaX, general stress protein, BSU_09690
 new_2100391_2100457_c, S743, new RNA feature, new_2100391_2100457_c
 new_653813_654070, S211, new RNA feature,
 new_653813_654070, , ,
 BSU_21770, ilvA, threonine dehydratase, biosynthesis of branched-chain amino acids
 BSU_rRNA_11, rrnW-5S, 5S rRNA, translation
 BSU_32490, pucC, xanthine dehydrogenase, purine utilization
 BSU_03950, ycnJ, copper transporter, uptake of copper
 BSU_23060, ypzE, unknown, unknown
 BSU_08130, yfjE, unknown, unknown
 BSU_tRNA_10, trnSL-Met1, null, translation
 BSU_22000, sspL, small acid-soluble spore protein (minor SASP), protection of spore DNA
 BSU_misc_RNA_23, BSU_misc_RNA_23, null, null
 BSU_18320, ppsC, plipastatin synthetase, production of the antibacterial compound plipastatin
 new_22531_23167, S15, new RNA feature, new_22531_23167
 BSU_24790, yqgX, unknown, unknown
 BSU_27700, yrbF, part of the Sec protein translocation machinery, protein secretion
 BSU_11630, prpE, protein tyrosine phosphatase, unknown
 BSU_05330, aseR, transcriptional repressor of the [wiki|ArsR family], BSU_05330
 BSU_38530, dltD, D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain, BSU_38530
 new_1097952_1098088_c, S362, new RNA feature,
 new_1097952_1098088_c, , ,
 new_4169613_4169943_c, S1563, new RNA feature, new_4169613_4169943_c
 BSU_20560, yoqO, unknown, unknown
 BSU_33600, smpB, tmRNA-binding protein, trans-translation
 new_1278946_1279513_c, S443, new RNA feature,
 new_1278946_1279513_c, , ,
 BSU_10070, sndC, sulphur compound N-deacetylase, unknown
 new_56193_56304, S33, new RNA feature,
 new_56193_56304, , ,
 BSU_06590, yerD, general stress protein, required for protection against paraquat stress
 BSU_03720, gerKB, nutrient receptor, germination
 new_559146_559263, S179, new RNA feature, new_559146_559263
 BSU_28100, ysxE, inner spore coat protein, protection of the spore
 BSU_00730, cysK, cysteine synthase, BSU_00730
 BSU_06220, ydjJ, unknown, unknown
 BSU_24420, spoIIIAB, component of the [[protein|SpoIIIA]]-[[protein|SpoIIQ ]]type III secretion system residing in the forespore membrane, BSU_24420
 BSU_21600, yokG, similar to delta-endotoxin, unknown
 BSU_04940, conE, ATPase, part of the type IV secretion system for DNA transfer
 new_3464210_3464288, S1293, new RNA feature, new_3464210_3464288
 new_3748336_3748420_c, S1405, new RNA feature,
 new_3748336_3748420_c, , ,
 new_1205658_1206260_c, S400, new RNA feature,
 new_1205658_1206260_c, , ,
 BSU_39830, yxcA, unknown, unknown
 BSU_38660, yxlF, similar to [wiki|ABC transporter] (ATP-binding protein), unknown
 new_975132_975230, S314, new RNA feature, new_975132_975230
 BSU_19000, yobL, LXG toxin, BSU_19000
 BSU_22530, ypjA, unknown, unknown
 new_1919693_1919828, S660, new RNA feature,
 new_1919693_1919828, , ,
 BSU_28150, hemC, hydroxymethylbilane synthase, heme biosynthesis
 BSU_17850, lexA, transcriptional repressor of the SOS regulon, regulation of DNA damage repair
 BSU_39120, yxiM, similar to rhamnogalacturonan acetylesterase, unknown
 BSU_03170, ycgK, similar to transcriptional regulator ([wiki|LysR family]), unknown
 BSU_08000, yfjQ, minor magnesium transporter, magnesium uptake
 BSU_rRNA_17, rrnD-23S, 23S rRNA, translation
 BSU_35460, comFB, late competence gene, compentence
 BSU_40139, yyzN, unknown, unknown
 BSU_06850, yeeK, inner spore coat protein, protection of the spore
 new_3542144_3542334, S1315, new RNA feature, new_3542144_3542334
 BSU_26380, yqaB, similar to phage-related protein, unknown
 BSU_00790, folK, 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, biosynthesis of folate
 BSU_01990, ybdG, unknown, unknown
 BSU_20890, yopH, unknown, unknown
 BSU_tRNA_61, trnB-Met1, null, translation
 new_1160756_1162206, S389, new RNA feature,
 new_1160756_1162206, , ,
 BSU_39400, pdp, pyrimidine nucleoside phosphorylase, pyrimidine interconversion
 BSU_20370, yorI, similar to putative replicative DNA helicase, unknown
 BSU_06290, yeaA, unknown, unknown
 BSU_27870, nadB, L-aspartate oxidase, NAD biosynthesis
 BSU_12440, phrA, response regulator aspartate phosphatase ([[protein|25D89EF3C4D57B3E6F9AB0210029651F74356906]]) inhibitor, BSU_12440
 BSU_24700, comGD, DNA transport machinery, BSU_24700
 new_3769454_3769625_c, S1415, new RNA feature,
 new_3769454_3769625_c, , ,
 BSU_02850, znuA, high-affinity [wiki|ABC transporter] for zinc (binding protein, BSU_02850
 BSU_06480, purL, phosphoribosylformylglycinamidine synthase, purine biosynthesis
 BSU_35490, degU, two-component response regulator, [wiki|genetic competence]
 BSU_22380, tseB, cell shape control via [[protein|3B4F035535D6504405567E7C44E72902A11F7447|PBP 2A]], tetracycline sensitivity suppressor of [[gene|B317D7E51824DD70EF84E4D5D7290D601BF4FAB6]]
 BSU_35670, gtaB, major vegetative UTP-glucose-1-phosphate uridylyltransferase, BSU_35670
 BSU_06110, ydjA, component of the BsuM DNA restriction system, BsuM DNA restriction
 new_2138041_2139052, S758, new RNA feature, new_2138041_2139052
 BSU_28590, polX, DNA polymerase X, generates adaptive mutations by error-prone processing of A/P sites
 BSU_37380, albB, antilisterial bacteriocin (subtilosin) production, antilisterial bacteriocin (subtilosin) production
 new_1130705_1131082, S375, new RNA feature, new_1130705_1131082
 BSU_22169, ypzG, unknown, unknown
 BSU_06760, dnmA, DNA methyltransferase, genome-wide N6-methyladenosine modifications at non-palindromic recognition sites to control promoter activities
 BSU_02740, natR, two-component response regulator, BSU_02740
 new_2203000_2203110_c, S781, new RNA feature,
 new_2203000_2203110_c, , ,
 new_2421344_2421437_c, S880, new RNA feature,
 new_2421344_2421437_c, , ,
 BSU_27340, yrrO, tRNA uridine hydroxylase (in complex with [[protein|A3EC327DA14F188E88AF4221B51EE5950F882277]]), introduction of 5-methoxyuridine modification in tRNA (U34)
 BSU_41040, yidC1, Sec-independent membrane protein translocase, involved in the assembly of the [[protein|00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] complex
 BSU_12990, ykfC, D-glutamyl-L-amino acid peptidase, cell wall metabolism
 new_1279022_1279523, S444, new RNA feature,
 new_1279022_1279523, , ,
 BSU_05120, cspC, cold shock protein, RNA chaperone
 BSU_33390, yvgM, similar to [wiki|ABC transporter] for molybdenum uptake (permease), unknown
 BSU_08480, yfhC, unknown, unknown
 new_176926_177082, S66, new RNA feature, new_176926_177082
 BSU_15180, murE, UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2, BSU_15180
 BSU_misc_RNA_49, BSU_misc_RNA_49, null, null
 BSU_34160, ganS, galactotriose [wiki|ABC transporter], BSU_34160
 BSU_22560, qcrA, Rieske factor, component of the cytochrome bc1 complex
 BSU_25460, dnaJ, heat-shock protein (activation of [[protein|30E0AAABB803E577D0D9FBAEF9031319CABD3D89]]), protein quality control
 new_3481624_3481697_c, S1301, new RNA feature,
 new_3481624_3481697_c, , ,
 BSU_27900, pheA, prephenate dehydratase, biosynthesis of phenylalanine
 new_2802122_2802357, S1041, new RNA feature, new_2802122_2802357
 new_1633963_1634060, S570, new RNA feature,
 new_1633963_1634060, , ,
 new_3297920_3297994_c, S1232, new RNA feature, new_3297920_3297994_c
 BSU_29679, ytzK, unknown, unknown
 new_1774965_1775066, S610, new RNA feature, new_1774965_1775066
 BSU_15950, ftsY, signal recognition particle, protein secretion
 BSU_04540, ydbO, similar to cation efflux system, unknown
 BSU_16060, rnhB, RNase HII, responsible for removal of single rNMPs incorporated into DNA by DNA polymerase during DNA replication
 BSU_15220, murG, UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase, BSU_15220
 BSU_36060, cotH, protein kinase, BSU_36060
 BSU_40370, walJ, 5'-3' double-stranded DNA exonuclease, BSU_40370
 BSU_25920, yqxG, similar to phage-related lytic exoenzyme, unknown
 BSU_11130, ipi, intracellular proteinase inhibitor, control of intracellular proteolysis
 BSU_25710, cwlH, N-acetylmuramoyl-L-alanine amidase, cell wall metabolism
 BSU_30920, cotI, outer spore coat protein, spore envelope
 new_2844574_2844638_c, S1055, new RNA feature,
 new_2844574_2844638_c, , ,
 BSU_00710, yacC, similar to chaperonin (HSP33 Homolog), BSU_00710
 BSU_15520, pyrAB, carbamoyl-phosphate synthetase (catalytic subunit), pyrimidine biosynthesis
 new_48474_48554, S26, new RNA feature,
 new_48474_48554, , ,
 BSU_19340, yocR, similar to sodium-dependent transporter, unknown
 BSU_37230, ywjA, similar to [wiki|ABC transporter] (ATP-binding protein), unknown
 new_2879205_2879294_c, S1063, new RNA feature, new_2879205_2879294_c
 BSU_29239, ytrH, sporulation protein, unknown
 BSU_18220, yngF, methylglutaconyl-CoA hydratase, mother cell metabolism
 BSU_03710, gerKC, nutrient receptor, germination
 BSU_15300, bpr, bacillopeptidase F, protein degradation
 new_713536_713956_c, S233, new RNA feature, new_713536_713956_c
 BSU_12700, xkdQ, PBSX prophage, unknown
 BSU_17800, yndJ, unknown, unknown
 BSU_18850, yobD, similar to transcription regulator (Xre family), unknown
 BSU_18270, ynzE, unknown, unknown
 new_2295944_2297045, S820, new RNA feature, new_2295944_2297045
 new_3798209_3798320_c, S1433, new RNA feature, new_3798209_3798320_c
 BSU_35060, cypX, cytochrome P450, BSU_35060
 new_3812301_3812488_c, S1441, new RNA feature, new_3812301_3812488_c
 new_945324_945415, S302, new RNA feature, new_945324_945415
 BSU_35890, capC, part of the [[protein|86C05126ADBA22BB1771B1FA3D214B2E7A36311E]]-[[protein|D66994D077D1382B88FF65075E44C2A31089548F]] glutmic acid ligase, BSU_35890
 new_3574247_3574338_c, S1325, new RNA feature,
 new_3574247_3574338_c, , ,
 BSU_40180, epeX, secreted linear antimicrobial peptide, BSU_40180
 BSU_34250, epsL, similar to UDP-galactose phosphate transferase, BSU_34250
 BSU_38440, ywaF, unknown, unknown
 new_3487818_3487895_c, S1304, new RNA feature, new_3487818_3487895_c
 BSU_03140, tmrB, tunicamycin resistance protein, BSU_03140
 BSU_tRNA_81, trnQ-Arg, null, translation
 new_3481382_3481622_c, S1300, new RNA feature, new_3481382_3481622_c
 BSU_00570, yabM, may function in a previously observed alternate pathway for peptidoglycan strand synthesis, alternate pathway for peptidoglycan strand synthesis
 BSU_13460, rsgI, regulator of [[protein|3DEAC421B4B173C6BBC700E57790751B7AFDF319]] activity, control of [[protein|3DEAC421B4B173C6BBC700E57790751B7AFDF319]] activity
 BSU_16410, flhG, GTPase activating protein, activates assembly of the flagellar C ring
 new_2840432_2840765_c, S1051, new RNA feature, new_2840432_2840765_c
 new_1435383_1435605_c, S491, new RNA feature, new_1435383_1435605_c
 BSU_14190, ykuR, N-acetyl-diaminopimelate deacetylase, biosynthesis of lysine and peptidoglycan
 BSU_28820, ysdC, similar to endo-1, BSU_28820
 new_2522774_2522859_c, S915, new RNA feature,
 new_2522774_2522859_c, , ,
 new_3693907_3693970_c, S1379, new RNA feature, new_3693907_3693970_c
 BSU_35810, gerBB, nutrient receptor, fructose
 new_4109676_4109842, S1538, new RNA feature, new_4109676_4109842
 BSU_37340, ywiB, unknown, unknown
 BSU_16090, sucC, succinyl-CoA synthetase (beta subunit), TCA cycle
 BSU_32750, metN, methionine [wiki|ABC transporter ](ATP-binding protein), methionine uptake
 BSU_34590, mdxG, maltodextrin [wiki|ABC transporter], BSU_34590
 BSU_26720, azlB, transcriptional repressor ([wiki|Lrp family]) of the [[gene|D7397591C2157EBB1951ED3DC1E315F9AE7A4BB3]]-[[gene|C90D642197EE589F9D33CD5AA0B1069E3BC124A8]]-[[gene|7A1445B7AFD9C3AA45EF67E51F5D233FCC5F8884]]-[[gene|8BB8BDA602CC26B0A9E8C22666F0EC539306CF39]]-[[gene|17FFEA4977F4F7334CFF7CD1C644DF14F599E6E6]] operon, regulation of branched-chain amino acid transport
 new_1765748_1765813, S605, new RNA feature,
 new_1765748_1765813, , ,
 BSU_24900, rpmGA, ribosomal protein BL33a, translation
 new_1107562_1107672, S364, new RNA feature,
 new_1107562_1107672, , ,
 BSU_00140, dck, deoxyadenosin/deoxycytidine kinase, purine salvage and interconversion
 BSU_01140, ybaC, similar to proline iminopeptidase, unknown
 BSU_24470, yqhS, similar to 3-dehydroquinate dehydratase, unknown
 new_2869631_2869739_c, S1062, new RNA feature, new_2869631_2869739_c
 new_3546861_3547259, S1319, new RNA feature, new_3546861_3547259
 new_3136712_3136937_c, S1172, new RNA feature,
 new_3136712_3136937_c, , ,
 new_3861223_3861307_c, S1457, new RNA feature, new_3861223_3861307_c
 new_2191556_2193247_c, S775, new RNA feature,
 new_2191556_2193247_c, , ,
 BSU_07640, yflL, acylphosphatase, unknown
 BSU_23830, yqjL, general stress protein, important for survival at low temperature
 BSU_21170, yomZ, unknown, unknown
 BSU_09830, yhaX, [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent sporulation protein, protection of the spore
 BSU_01820, adaB, O6-methylguanine-DNA methyltransferase, adaptive response to alkylative DNA damage
 new_2915149_2915261_c, S1079, new RNA feature, new_2915149_2915261_c
 BSU_31360, yugK, similar to NADH-dependent butanol dehydrogenase, unknown
 new_22452_22529, S14, new RNA feature, new_22452_22529
 BSU_25860, yqcG, LXG toxin, DNase activity
 BSU_25930, yqcE, similar to phage-related protein, unknown
 BSU_26040, yqbN/2, similar to phage-related protein, BSU_26040
 BSU_23810, yqjN, similar to amino acid degradation, unknown
 BSU_01450, ybxA, ATP-binding A1 component of [wiki|ECF transporter]s, uptake of micronutrients
 BSU_17950, yneJ, unknown, unknown
 BSU_33630, secG, preprotein translocase subunit, protein secretion
 new_4144079_4144300_c, S1551, new RNA feature,
 new_4144079_4144300_c, , ,
 BSU_19730, yodS, similar to butyrate-acetoacetate CoA-transferase, unknown
 BSU_09860, khtT, K<sup>+</sup>/H<sup>+</sup> antiporter for K<sup>+</sup> efflux, potassium ion efflux
 BSU_36730, ywmD, unknown, unknown
 BSU_04040, ycsE, 5'-nucleotidase, 5-amino-6-ribitylamino-2
 BSU_14420, ykoA, unknown, unknown
 BSU_05840, gmuD, phospho-beta-mannosidase, glucomannan utilization
 new_1483671_1483955, S513, new RNA feature,
 new_1483671_1483955, , ,
 BSU_37770, rocB, involved in arginine and ornithine utilization, arginine
 new_3136119_3136205_c, S1171, new RNA feature,
 new_3136119_3136205_c, , ,
 BSU_12210, yjiB, cytochrome P450, BSU_12210
 new_1447893_1448237_c, S501, new RNA feature, new_1447893_1448237_c
 new_449651_449723, S132, new RNA feature, new_449651_449723
 BSU_07400, yfmO, similar to multidrug-efflux transporter, unknown
 BSU_20410, yorE, unknown, unknown
 BSU_31620, mrpC, Na<sup>+</sup>/H<sup>+</sup> antiporter subunit, BSU_31620
 new_936766_937078, S298, new RNA feature,
 new_936766_937078, , ,
 BSU_35530, tagO, undecaprenyl-phosphate-GlcNAc-1-phosphate transferase, BSU_35530
 BSU_05030, yddM, unknown, unknown
 BSU_33070, gerAC, lipoprotein, [wiki|germination] response to L-alanine
 BSU_04610, ydcA, unknown, unknown
 BSU_32980, yusZ,  putative short-chain acyl dehydrogenase, unknown
 BSU_07660, yflJ, unknown, unknown
 BSU_03080, ycgE, similar to transcription regulator, unknown
 new_1429967_1430160_c, S487, new RNA feature, new_1429967_1430160_c
 BSU_39500, yxeM, putative S-(2-succino)cysteine [wiki|ABC transporter] (binding protein), uptake and utilization of S-(2-succino)cysteine
 BSU_33550, yvaC, unknown, unknown
 BSU_39170, yxzG, unknown, unknown
 BSU_37060, tdk, thymidine kinase, biosynthesis of thymidine nucleotides
 new_2432172_2432238_c, S883, new RNA feature, new_2432172_2432238_c
 BSU_28060, spoIIB, spatial and temporal regulation of the dissolution of septal peptidoglycan during engulfment, spore morphogenesis
 BSU_26500, yrkI, putative sulfur carrier protein, unknown
 BSU_20640, yoqG, unknown, unknown
 BSU_03470, hxlR, [wiki|MarR family|MarR/DUF24 family] transcription activator of the [[gene|BF480721B89661BFFE6632BB10C5F4DC29951784]]-[[gene|FB0CEA291CA4EC5FB8410050E61B89EDBA1771F9]] operon, regulation of the ribulose monophosphate pathway
 BSU_30210, bioD, dethiobiotin synthase, biosynthesis of biotin
 BSU_11970, yjcS, unknown, unknown
 BSU_11980, yjdA, similar to 3-oxoacyl-acyl-carrier protein reductase, unknown
 new_4093838_4093937_c, S1532, new RNA feature, new_4093838_4093937_c
 BSU_04410, ydbB, unknown, unknown
 BSU_17960, yneK, unknown, unknown
 BSU_40810, yyaM, unknown, unknown
 BSU_24300, yqiB, similar to exodeoxyribonuclease VII (large subunit), unknown
 BSU_25010, yqgE, unknown, unknown
 BSU_14940, ylbA, unknown, unknown
 new_502632_502875, S151, new RNA feature, new_502632_502875
 BSU_08780, ygaJ, similar to peptidase, unknown
 BSU_19040, csaA, molecular chaperone involved in protein secretion, protein secretion
 BSU_31850, yueC, membrane protein, BSU_31850
